,Outlier Date,Outlier Close Price,Reference Point,Outlier Daily Return,Recovery Date,Recovery Close Price,Days to Recovery,Year,Reversal Date,Reversal Daily Return
38,2017-03-16,0.9283,0.93127,-0.0031891932522254856,2017-03-30,0.93562,11,2017,2017-03-17,0.0031132177097920374
39,2017-04-24,0.92039,0.92039,-0.012457081545064386,2017-04-26,0.9167,3,2017,2017-04-26,0.001770337019714074
40,2017-04-25,0.91508,0.92039,-0.005769293451688998,2017-04-26,0.9167,2,2017,2017-04-26,0.001770337019714074
41,2017-05-16,0.90134,0.90134,-0.010299543218552292,2017-05-18,0.90001,3,2017,2017-05-18,0.004027219991075416
42,2017-05-17,0.8964,0.90134,-0.005480728692835174,2017-05-18,0.90001,2,2017,2017-05-18,0.004027219991075416
43,2017-06-28,0.8788,0.8818,-0.0034021320027217087,2017-07-10,0.87743,9,2017,2017-06-30,0.0013731548232062923
44,2017-08-28,0.83578,0.83866,-0.00343404955524288,2017-09-11,0.83619,11,2017,2017-08-30,0.006739528592120886
45,2017-09-26,0.84859,0.8435,0.006034380557202048,2017-10-10,0.84642,11,2017,2017-09-28,-0.0026672933435168255
46,2017-10-27,0.86123,0.85922,0.002339331021158804,2017-11-10,0.85721,11,2017,2017-10-30,-0.003518223935534164
47,2018-01-12,0.81941,0.81941,-0.013163282510778713,2018-01-17,0.82097,4,2018,2018-01-17,0.007696084448263162
48,2018-01-15,0.81518,0.81941,-0.005162250887833876,2018-01-17,0.82097,3,2018,2018-01-17,0.007696084448263162
49,2018-02-14,0.802,0.80945,-0.009203780344678432,2018-02-26,0.81197,9,2018,2018-02-16,0.007326831707927092
50,2018-05-31,0.85524,0.85724,-0.002333068918855865,2018-06-04,0.85455,3,2018,2018-06-01,0.0028062298302230456
51,2018-06-14,0.86474,0.86474,0.02070349386213409,2018-06-15,0.86135,2,2018,2018-06-15,-0.003920253486597133
52,2018-06-15,0.86135,0.86474,-0.003920253486597133,2018-06-19,0.86291,3,2018,2018-06-19,0.0036287930773792445
53,2018-08-10,0.87608,0.8675,0.009890489913544577,2018-08-23,0.86635,10,2018,2018-08-16,-0.0025860895603647166
54,2018-08-27,0.8557,0.86027,-0.005312285677752291,2018-09-10,0.8625,11,2018,2018-08-30,0.0037589142475731537
55,2018-09-28,0.86177,0.85936,0.002804412586110621,2018-10-11,0.86276,10,2018,2018-10-04,-0.0034888791975578337
56,2018-11-12,0.89095,0.88215,0.009975627727710741,2018-11-26,0.8822,11,2018,2018-11-13,-0.007744542342443478
57,2019-01-02,0.88402,0.8725,0.013203438395415443,2019-01-15,0.87606,10,2019,2019-01-03,-0.007024727947331564
58,2019-01-28,0.87488,0.8766,-0.001962126397444735,2019-02-06,0.87981,8,2019,2019-01-31,0.0029288462642852366
59,2019-03-07,0.89296,0.88389,0.010261457873717343,2019-03-19,0.88074,9,2019,2019-03-08,-0.0032028310338648694
60,2019-03-22,0.8846,0.87916,0.006187724646253241,2019-04-05,0.89148,10,2019,2019-03-25,-0.0011304544426859607
61,2019-04-24,0.89653,0.89093,0.006285566767310619,2019-05-08,0.89298,11,2019,2019-04-26,-0.0009465689659012644
62,2019-06-03,0.88922,0.8946,-0.0060138609434383416,2019-06-17,0.89089,11,2019,2019-06-05,0.0019469484677628204
63,2019-06-07,0.8822,0.8868,-0.005187189896256257,2019-06-20,0.88531,10,2019,2019-06-10,0.0012468827930174448
64,2019-06-21,0.87938,0.88531,-0.006698218703053157,2019-07-04,0.88607,10,2019,2019-06-25,0.0024051339921804023
65,2019-08-05,0.88939,0.9001,-0.011898677924675033,2019-08-19,0.90232,11,2019,2019-08-06,0.0034180730613116088
66,2019-10-08,0.91233,0.9112,0.0012401229148375377,2019-10-14,0.90695,5,2019,2019-10-09,-0.0022579549066674897
67,2020-03-06,0.88558,0.88558,-0.006094207696883239,2020-03-10,0.88376,3,2020,2020-03-10,0.007581717230450052
68,2020-03-09,0.87711,0.88558,-0.009564353305178627,2020-03-10,0.88376,2,2020,2020-03-10,0.007581717230450052
69,2020-03-13,0.90017,0.8942,0.006676358756430363,2020-03-27,0.89775,11,2020,2020-03-16,-0.004987946721174882
70,2020-03-18,0.91371,0.91371,0.006377213851440736,2020-03-20,0.93449,3,2020,2020-03-20,-0.004219724013000121
71,2020-03-19,0.93845,0.93845,0.027076424686169553,2020-03-20,0.93449,2,2020,2020-03-20,-0.004219724013000121
72,2020-03-20,0.93449,0.93845,-0.004219724013000121,2020-03-30,0.9066,7,2020,2020-03-30,0.009857978279030814
73,2020-03-26,0.90512,0.90512,-0.014374074396724442,2020-03-30,0.9066,3,2020,2020-03-30,0.009857978279030814
74,2020-03-27,0.89775,0.90512,-0.008142566731483104,2020-03-30,0.9066,2,2020,2020-03-30,0.009857978279030814
75,2020-04-02,0.92193,0.91305,0.009725644816822735,2020-04-15,0.9171,10,2020,2020-04-07,-0.008715844043633125
76,2020-07-27,0.84972,0.8579,-0.009534910828767881,2020-08-10,0.85204,10,2020,2020-07-28,0.004224921150496613
77,2021-01-04,0.81612,0.81612,-0.006790799561883935,2021-01-07,0.81501,4,2021,2021-01-07,0.005936805726980968
78,2021-01-05,0.81305,0.81612,-0.00376170171053265,2021-01-07,0.81501,3,2021,2021-01-07,0.005936805726980968
79,2021-03-05,0.839453,0.8354,0.004851568111084478,2021-03-19,0.8369602,11,2021,2021-03-09,-0.0038753718342241492
80,2021-05-07,0.8216927,0.8286,-0.008336109099686156,2021-05-13,0.8278,5,2021,2021-05-10,0.0023942040619320264
81,2021-06-16,0.83364,0.83364,0.010962891098714586,2021-06-21,0.83945,4,2021,2021-06-21,-0.003992572509981374
82,2021-06-17,0.83939,0.83939,0.006897461734081764,2021-06-21,0.83945,3,2021,2021-06-21,-0.003992572509981374
83,2021-06-18,0.842815,0.83939,0.004080344059376466,2021-06-21,0.83945,2,2021,2021-06-21,-0.003992572509981374
84,2021-11-11,0.8733,0.87061,0.0030897876201743265,2021-11-12,0.8738,2,2021,,
85,2021-11-16,0.8833,0.87971,0.004080890293392121,2021-11-30,0.88259,11,2021,2021-11-17,0.0
86,2021-11-22,0.8894,0.8864,0.003384476534296032,2021-12-06,0.886,11,2021,2021-11-23,-0.0001236788846412677
87,2022-06-13,0.9601,0.95045,0.010153085380609118,2022-06-24,0.9471,10,2022,2022-06-14,-0.0020935319237578966
88,2022-07-06,0.9817,0.97493,0.006944088293518565,2022-07-19,0.9771,10,2022,2022-07-08,-0.001830756712774525
89,2022-09-21,1.01711,1.0027,0.014371197766031749,2022-10-04,1.0015,10,2022,2022-09-22,-0.0007373833705302558
90,2022-09-26,1.03946,1.0319,0.007326291307297229,2022-10-10,1.0295,11,2022,2022-09-28,-0.011351859670671332
91,2022-10-06,1.0213,1.00887,0.012320715255682263,2022-10-18,1.01387,9,2022,2022-10-12,-0.0004365498976533614
92,2022-12-01,0.94981,0.9592,-0.009789407839866565,2022-12-06,0.9552,4,2022,2022-12-05,0.003973021393192171
93,2023-01-03,0.94824,0.93658,0.012449550492216367,2023-01-06,0.9376,4,2023,2023-01-04,-0.005768581793638715
94,2023-01-09,0.93169,0.9376,-0.006303327645051164,2023-01-23,0.9196,10,2023,2023-01-13,0.0009882818014965045
95,2023-02-01,0.9079,0.92073,-0.013934595375408651,2023-02-03,0.9234,3,2023,2023-02-02,0.010023130300693905
96,2023-02-03,0.9234,0.9234,0.006979280261722967,2023-02-07,0.9319,3,2023,2023-02-07,-0.0001180244847158877
97,2023-02-06,0.93201,0.9234,0.00932423651721898,2023-02-07,0.9319,2,2023,2023-02-07,-0.0001180244847158877
98,2023-03-17,0.9299,0.94215,-0.013002175874330089,2023-03-31,0.9198,10,2023,2023-03-20,0.0032369071943220435
99,2023-05-09,0.91198,0.9092,0.0030576330840299216,2023-05-10,0.91046,2,2023,2023-05-10,-0.0016667032171757779
100,2023-07-13,0.89096,0.89759,-0.007386445927427918,2023-07-21,0.8981,7,2023,2023-07-17,0.0009561304836895584
101,2023-11-14,0.91925,0.93442,-0.016234669634639688,2023-11-28,0.90871,10,2023,2023-11-15,0.0020125101985314312
102,2023-12-14,0.9096,0.91886,-0.010077704982260677,2023-12-18,0.91542,3,2023,2023-12-15,0.007805628847845201
