,Outlier Date,Reference Point,Outlier Daily Avg Return,Recovery Date,Recovery Close Price,Days to Recovery,Year,Reversal Date,Reversal Daily Avg Return
51,2015-01-16,0.8535,-0.07859953960998982,2015-01-30,0.91974,10,2015,2015-01-19,0.01520111981092948
52,2015-01-19,0.85793,0.01520111981092948,2015-01-21,0.86008,3,2015,2015-01-21,-0.01112460104013041
53,2015-01-26,0.87998,0.016919519122218694,2015-02-09,0.92475,10,2015,2015-02-04,-0.0005649994601795563
54,2015-01-29,0.90689,0.012896875972348305,2015-02-12,0.9301,10,2015,2015-02-04,-0.0005649994601795563
55,2015-03-18,1.00559,-0.013214167648711984,2015-04-01,0.96601,10,2015,2015-03-26,0.001968596227740161
56,2015-07-01,0.93467,0.012247217856077693,2015-07-10,0.93773,8,2015,2015-07-03,-0.004627498132681712
57,2015-08-24,0.94545,-0.0137263558613747,2015-09-07,0.97581,10,2015,2015-08-26,0.010106748434482896
58,2015-08-27,0.95191,0.014068071757883972,2015-09-10,0.97331,10,2015,2015-08-31,-0.0001277273265673784
59,2015-12-03,1.01862,-0.015934416413094794,2015-12-17,0.99461,10,2015,2015-12-07,0.003412093553787213
60,2016-02-04,1.00533,-0.012539641927147085,2016-02-18,0.99315,10,2016,2016-02-12,0.001465825366568073
61,2016-02-09,0.9872,-0.008862606515835578,2016-02-15,0.98605,5,2016,2016-02-12,0.001465825366568073
62,2016-03-11,0.98454,-0.00824481246740608,2016-03-15,0.98715,3,2016,2016-03-15,0.0027652523714634656
63,2016-03-17,0.97799,-0.010176485535632822,2016-03-23,0.97555,5,2016,2016-03-21,0.0018594100838528658
64,2016-05-06,0.96817,0.007874789802709819,2016-05-11,0.97103,4,2016,2016-05-11,-8.81740020965277e-05
65,2016-06-06,0.97509,-0.01023137608315358,2016-06-20,0.96202,10,2016,2016-06-10,0.002881774932441167
66,2016-06-27,0.97059,0.008727773610809357,2016-07-01,0.97269,5,2016,2016-06-30,-0.002133240111194668
67,2016-07-29,0.97972,-0.007942823295294154,2016-08-05,0.97993,6,2016,2016-08-03,0.002322404035238465
68,2016-11-02,0.97521,-0.008152756635317514,2016-11-07,0.97411,4,2016,2016-11-08,0.005958615023818726
69,2016-12-15,1.02235,0.00882270989483617,2016-12-19,1.0272,3,2016,2016-12-19,-0.0012320373434485596
70,2017-01-05,1.02023,-0.007995991439129657,2017-01-10,1.01686,4,2017,2017-01-09,0.002234390109839255
71,2017-03-16,1.00008,-0.006611260344481595,2017-03-20,0.99889,3,2017,2017-03-20,0.0013945675272800523
72,2017-05-09,0.9981,0.009885072286721742,2017-05-12,1.00081,4,2017,2017-05-12,-0.0040920645820321285
73,2017-05-16,0.99576,-0.008232163443152137,2017-05-30,0.97572,10,2017,2017-05-23,0.001803461270320529
74,2017-05-17,0.98439,-0.008345357344121502,2017-05-31,0.96816,10,2017,2017-05-23,0.001803461270320529
75,2017-06-28,0.96054,-0.006597906104707335,2017-06-30,0.9583,3,2017,2017-07-03,0.0039747022280076
76,2017-07-28,0.96377,0.009066398200118826,2017-08-01,0.96543,3,2017,2017-08-01,-0.0015964037704109704
77,2017-08-28,0.95598,-0.006633044980904185,2017-08-31,0.95959,4,2017,2017-08-30,0.005917653437981858
78,2017-09-08,0.94961,-0.006218701849348102,2017-09-22,0.96924,10,2017,2017-09-11,0.0035620965184282984
79,2017-09-12,0.9563,0.008544998006058879,2017-09-15,0.95908,4,2017,2017-09-15,-0.002348122689357398
80,2018-01-15,0.96761,-0.006373218992200256,2018-01-17,0.96521,3,2018,2018-01-17,0.00102544683900779
81,2018-01-24,0.95675,-0.008178860712837781,2018-02-07,0.94251,10,2018,2018-01-30,0.000767471754014524
82,2018-01-25,0.94642,-0.00784982740813268,2018-02-07,0.94251,10,2018,2018-01-30,0.000767471754014524
83,2018-01-26,0.94178,-0.006990619644382154,2018-02-07,0.94251,9,2018,2018-01-30,0.000767471754014524
84,2018-02-15,0.92755,-0.007026640510853031,2018-02-19,0.92935,3,2018,2018-02-19,0.0038483048259346222
85,2018-03-08,0.94344,0.007037389167780494,2018-03-12,0.94725,3,2018,2018-03-12,-0.0022336772842059404
86,2018-03-28,0.94641,0.006124282267274237,2018-04-11,0.95738,10,2018,2018-03-30,-0.001631434209733415
87,2018-06-15,0.99705,0.006351689314566885,2018-06-19,0.99426,3,2018,2018-06-19,-0.001459158484770888
88,2018-09-28,0.977,0.00851292746005198,2018-10-12,0.99161,10,2018,2018-10-05,-0.00013094808268907229
89,2018-11-19,0.99968,-0.006850731927159969,2018-11-23,0.99686,5,2018,2018-11-21,0.0005640866835985767
90,2019-01-11,0.98393,0.005234127162923551,2019-01-15,0.98729,3,2019,,
91,2019-06-03,1.00055,-0.007145604362519484,2019-06-14,0.99847,10,2019,2019-06-05,0.0007556497406865021
92,2019-06-20,0.99286,-0.00984929975821275,2019-07-04,0.98482,10,2019,2019-06-26,0.002773531802762316
93,2019-06-21,0.98112,-0.008434840403829715,2019-06-26,0.97754,4,2019,2019-06-26,0.002773531802762316
94,2019-07-01,0.97596,0.005446222881585435,2019-07-15,0.98449,10,2019,2019-07-03,-0.0008403886387184941
95,2019-08-02,0.99006,-0.006193146609684693,2019-08-16,0.9779,10,2019,2019-08-07,0.002248667182281118
96,2019-08-05,0.98187,-0.009890438891945222,2019-08-16,0.9779,10,2019,2019-08-07,0.002248667182281118
97,2019-10-17,0.99444,-0.005537246426985731,2019-10-23,0.99049,5,2019,2019-10-22,0.002704708971721684
98,2019-12-03,0.99151,-0.006144266269175743,2019-12-05,0.98723,3,2019,2019-12-06,0.0008058592796279424
99,2019-12-30,0.97423,-0.006541805155805249,2020-01-02,0.97145,4,2019,2020-01-02,
100,2020-03-06,0.94589,-0.01032835531088976,2020-03-12,0.94443,5,2020,2020-03-10,1.039519076515439e-05
101,2020-03-09,0.93699,-0.009304399599563279,2020-03-11,0.93903,3,2020,2020-03-11,0.005730912208964316
102,2020-03-18,0.95978,0.010597102302836232,2020-03-26,0.96172,7,2020,2020-03-23,-0.0034752757114511696
103,2020-03-19,0.96758,0.014972089918542415,2020-04-01,0.96642,10,2020,2020-03-23,-0.0034752757114511696
104,2020-03-20,0.98869,0.009179097376817229,2020-04-03,0.97588,10,2020,2020-03-23,-0.0034752757114511696
105,2020-03-26,0.97625,-0.009578537081602945,2020-04-02,0.97439,6,2020,2020-03-31,0.005592290979301478
106,2020-03-27,0.96172,-0.013072278311857252,2020-03-31,0.96154,3,2020,2020-03-31,0.005592290979301478
107,2020-05-01,0.9665,-0.006685705783130293,2020-05-08,0.9701,6,2020,2020-05-05,0.006059669611206646
108,2020-06-10,0.95112,-0.007330865053719703,2020-06-12,0.95171,3,2020,2020-06-12,0.004247285460677777
109,2020-12-02,0.89929,-0.007334617887545083,2020-12-16,0.88421,10,2020,2020-12-11,0.00042880079854145086
110,2021-03-04,0.9199,0.007721739134815186,2021-03-17,0.922,10,2021,2021-03-09,-0.0024243939973740683
111,2021-03-05,0.92916,0.006948864590062439,2021-03-09,0.92817,3,2021,2021-03-09,-0.0024243939973740683
112,2021-03-24,0.93442,0.006764621402378724,2021-03-26,0.9390182,3,2021,2021-03-29,-0.00035126452791758443
113,2021-04-13,0.9223,-0.008279335169095568,2021-04-15,0.9218927,3,2021,2021-04-15,0.0009754237712674705
114,2021-06-09,0.9092,-0.010132130241411717,2021-06-16,0.90853,6,2021,2021-06-11,0.0013765517325744561
115,2021-06-10,0.8956,-0.008093215951200666,2021-06-14,0.8991,3,2021,2021-06-14,0.0025689664568460785
116,2021-06-17,0.90853,0.01059511815061459,2021-07-01,0.9259,10,2021,2021-06-22,-0.0023242708412055586
117,2021-06-18,0.91764,0.007879641074666224,2021-06-22,0.91861,3,2021,2021-06-22,-0.0023242708412055586
118,2021-08-09,0.9147264,0.007747038787330981,2021-08-13,0.9153,5,2021,2021-08-12,-4.752830448411633e-05
119,2021-09-17,0.92736,0.006660644987270169,2021-09-21,0.9235,3,2021,2021-09-21,-0.0045705278571617595
120,2022-05-19,0.98719,-0.010862828438618521,2022-06-02,0.95759,10,2022,2022-05-31,0.0013307741141200132
121,2022-06-16,0.99443,-0.016413716867960983,2022-06-30,0.9551,10,2022,2022-06-20,0.00021376144507543552
122,2022-06-17,0.9668,-0.011925893178666765,2022-06-21,0.96617,3,2022,,
123,2022-09-09,0.96865,-0.009205415569017345,2022-09-16,0.96402,6,2022,2022-09-13,0.0008959179267669561
124,2022-10-03,0.9884305,0.009171405316863283,2022-10-06,0.98988,4,2022,2022-10-05,-0.005819677547458836
125,2022-11-07,0.9976274,-0.012195574033899911,2022-11-21,0.95843,10,2022,2022-11-15,0.00026548998416313114
