,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
370,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,41,post day,Wednesday,2014-12-24
371,,,,,,,,,,,,,41,post day,Thursday,2014-12-25
372,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,slow recovery,41,post day,Friday,2014-12-26
373,0.9603,0.96539,0.9598,0.96564,0.95521,324395.0,0.96539,-0.005790405949926956,0.005790405949926956,0.5790405949926969,Down,slow recovery,42,prior day,Tuesday,2014-12-16
374,0.9661,0.9598,0.97332,0.97453,0.95937,301750.0,0.9598,0.014086267972494246,0.014086267972494246,1.4086267972494237,Up,slow recovery,42,prior day,Wednesday,2014-12-17
375,0.9787,0.97332,0.97983,0.98469,0.97207,267908.0,0.97332,0.006688447786956002,0.006688447786956002,0.6688447786955987,Up,slow recovery,42,prior day,Thursday,2014-12-18
376,0.981,0.97983,0.98328,0.98451,0.97834,201763.0,0.97983,0.0035210189522672957,0.0035210189522672957,0.35210189522671964,Up,slow recovery,42,prior day,Friday,2014-12-19
377,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,slow recovery,42,post day,Monday,2014-12-22
378,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,slow recovery,42,post day,Tuesday,2014-12-23
379,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,42,post day,Wednesday,2014-12-24
380,0.9603,0.96539,0.9598,0.96564,0.95521,324395.0,0.96539,-0.005790405949926956,0.005790405949926956,0.5790405949926969,Down,fast recovery,43,prior day,Tuesday,2014-12-16
381,0.9661,0.9598,0.97332,0.97453,0.95937,301750.0,0.9598,0.014086267972494246,0.014086267972494246,1.4086267972494237,Up,fast recovery,43,prior day,Wednesday,2014-12-17
382,0.9787,0.97332,0.97983,0.98469,0.97207,267908.0,0.97332,0.006688447786956002,0.006688447786956002,0.6688447786955987,Up,fast recovery,43,prior day,Thursday,2014-12-18
383,0.981,0.97983,0.98328,0.98451,0.97834,201763.0,0.97983,0.0035210189522672957,0.0035210189522672957,0.35210189522671964,Up,fast recovery,43,prior day,Friday,2014-12-19
384,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,fast recovery,43,outlier day,Monday,2014-12-22
385,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,fast recovery,43,post day,Tuesday,2014-12-23
386,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,fast recovery,43,post day,Wednesday,2014-12-24
387,,,,,,,,,,,,,43,post day,Thursday,2014-12-25
388,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,fast recovery,43,post day,Friday,2014-12-26
389,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,fast recovery,43,post day,Monday,2014-12-29
390,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,fast recovery,43,post day,Tuesday,2014-12-30
391,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,fast recovery,43,post day,Wednesday,2014-12-31
392,,,,,,,,,,,,,43,post day,Thursday,2015-01-01
393,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,fast recovery,43,post day,Friday,2015-01-02
394,0.9603,0.96539,0.9598,0.96564,0.95521,324395.0,0.96539,-0.005790405949926956,0.005790405949926956,0.5790405949926969,Down,fast recovery,44,prior day,Tuesday,2014-12-16
395,0.9661,0.9598,0.97332,0.97453,0.95937,301750.0,0.9598,0.014086267972494246,0.014086267972494246,1.4086267972494237,Up,fast recovery,44,prior day,Wednesday,2014-12-17
396,0.9787,0.97332,0.97983,0.98469,0.97207,267908.0,0.97332,0.006688447786956002,0.006688447786956002,0.6688447786955987,Up,fast recovery,44,prior day,Thursday,2014-12-18
397,0.981,0.97983,0.98328,0.98451,0.97834,201763.0,0.97983,0.0035210189522672957,0.0035210189522672957,0.35210189522671964,Up,fast recovery,44,prior day,Friday,2014-12-19
398,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,fast recovery,44,prior day,Monday,2014-12-22
