,vw,o,c,h,l,n,prev_close,returns,outlier_id,day type,Date,Time
6890,0.9833,0.98303,0.98318,0.98362,0.98287,6074.0,0.98303,0.00015258944284517715,41,post day,2014-12-23,10:00:00
6891,,,,,,,,,41,post day,2014-12-23,11:00:00
6892,,,,,,,,,41,post day,2014-12-23,12:00:00
6893,,,,,,,,,41,post day,2014-12-23,13:00:00
6894,,,,,,,,,41,post day,2014-12-23,14:00:00
6895,,,,,,,,,41,post day,2014-12-23,15:00:00
6896,,,,,,,,,41,post day,2014-12-23,16:00:00
6897,,,,,,,,,41,post day,2014-12-23,17:00:00
6898,,,,,,,,,41,post day,2014-12-23,18:00:00
6899,,,,,,,,,41,post day,2014-12-23,19:00:00
6900,,,,,,,,,41,post day,2014-12-23,20:00:00
6901,,,,,,,,,41,post day,2014-12-23,21:00:00
6902,,,,,,,,,41,post day,2014-12-23,22:00:00
6903,,,,,,,,,41,post day,2014-12-23,23:00:00
6904,,,,,,,,,41,post day,2014-12-24,00:00:00
6905,,,,,,,,,41,post day,2014-12-24,01:00:00
6906,,,,,,,,,41,post day,2014-12-24,02:00:00
6907,,,,,,,,,41,post day,2014-12-24,03:00:00
6908,,,,,,,,,41,post day,2014-12-24,04:00:00
6909,,,,,,,,,41,post day,2014-12-24,05:00:00
6910,,,,,,,,,41,post day,2014-12-24,06:00:00
6911,,,,,,,,,41,post day,2014-12-24,07:00:00
6912,,,,,,,,,41,post day,2014-12-24,08:00:00
6913,,,,,,,,,41,post day,2014-12-24,09:00:00
6914,,,,,,,,,41,post day,2014-12-24,10:00:00
6915,,,,,,,,,41,post day,2014-12-24,11:00:00
6916,,,,,,,,,41,post day,2014-12-24,12:00:00
6917,,,,,,,,,41,post day,2014-12-24,13:00:00
6918,,,,,,,,,41,post day,2014-12-24,14:00:00
6919,,,,,,,,,41,post day,2014-12-24,15:00:00
6920,,,,,,,,,41,post day,2014-12-24,16:00:00
6921,,,,,,,,,41,post day,2014-12-24,17:00:00
6922,,,,,,,,,41,post day,2014-12-24,18:00:00
6923,,,,,,,,,41,post day,2014-12-24,19:00:00
6924,,,,,,,,,41,post day,2014-12-24,20:00:00
6925,,,,,,,,,41,post day,2014-12-24,21:00:00
6926,,,,,,,,,41,post day,2014-12-24,22:00:00
6927,,,,,,,,,41,post day,2014-12-24,23:00:00
6928,,,,,,,,,41,post day,2014-12-25,00:00:00
6929,0.9803,0.97983,0.98074,0.98079,0.97982,3961.0,,,42,prior day,2014-12-19,00:00:00
6930,0.9804,0.98073,0.97976,0.98074,0.97976,4439.0,0.98074,-0.0009992454677080378,42,prior day,2014-12-19,01:00:00
6931,0.9801,0.97975,0.98038,0.98057,0.97967,3516.0,0.97976,0.0006328080346207897,42,prior day,2014-12-19,02:00:00
6932,0.9806,0.98038,0.98128,0.98144,0.97997,3978.0,0.98038,0.0009180113833411655,42,prior day,2014-12-19,03:00:00
6933,0.9811,0.98127,0.98096,0.98132,0.98092,3540.0,0.98128,-0.000326104679602139,42,prior day,2014-12-19,04:00:00
6934,0.9807,0.98095,0.98064,0.98111,0.98038,3737.0,0.98096,-0.0003262110585549849,42,prior day,2014-12-19,05:00:00
6935,0.9802,0.98065,0.9797,0.98066,0.97964,4802.0,0.98064,-0.0009585576766192904,42,prior day,2014-12-19,06:00:00
6936,0.9796,0.97969,0.97988,0.98008,0.97889,9964.0,0.9797,0.0001837297131774604,42,prior day,2014-12-19,07:00:00
6937,0.9805,0.97988,0.98034,0.98131,0.97978,15326.0,0.97988,0.000469445238192448,42,prior day,2014-12-19,08:00:00
6938,0.9802,0.98033,0.9804,0.98088,0.97962,12422.0,0.98034,6.120325601328111e-05,42,prior day,2014-12-19,09:00:00
6939,0.9805,0.9804,0.98161,0.98166,0.97955,14516.0,0.9804,0.00123419012647892,42,prior day,2014-12-19,10:00:00
6940,0.9813,0.9816,0.98165,0.98216,0.98046,12975.0,0.98161,4.0749381118815014e-05,42,prior day,2014-12-19,11:00:00
6941,0.981,0.98164,0.98057,0.98186,0.98017,10788.0,0.98165,-0.0011001884582080882,42,prior day,2014-12-19,12:00:00
6942,0.9794,0.98057,0.97878,0.98091,0.97842,15073.0,0.98057,-0.0018254688599488758,42,prior day,2014-12-19,13:00:00
6943,0.9792,0.97879,0.97947,0.97984,0.97834,16175.0,0.97878,0.0007049592349659458,42,prior day,2014-12-19,14:00:00
6944,0.9808,0.97948,0.98098,0.98156,0.97948,16699.0,0.97947,0.0015416500760615552,42,prior day,2014-12-19,15:00:00
6945,0.9826,0.98098,0.98297,0.98384,0.98065,21160.0,0.98098,0.0020285836612367707,42,prior day,2014-12-19,16:00:00
6946,0.9831,0.98297,0.98277,0.98364,0.98238,9520.0,0.98297,-0.00020346500910503674,42,prior day,2014-12-19,17:00:00
6947,0.9835,0.98277,0.98384,0.98388,0.98269,5761.0,0.98277,0.0010887593231376775,42,prior day,2014-12-19,18:00:00
6948,0.9839,0.98384,0.98394,0.98451,0.9834,6221.0,0.98384,0.00010164254350299742,42,prior day,2014-12-19,19:00:00
6949,0.9841,0.98394,0.98421,0.98436,0.98375,5464.0,0.98394,0.00027440697603511643,42,prior day,2014-12-19,20:00:00
6950,0.9838,0.98422,0.98328,0.98425,0.98316,1726.0,0.98421,-0.0009449202914012115,42,prior day,2014-12-19,21:00:00
6951,,,,,,,,,42,prior day,2014-12-19,22:00:00
6952,,,,,,,,,42,prior day,2014-12-19,23:00:00
6953,,,,,,,,,42,prior day,2014-12-20,00:00:00
6954,,,,,,,,,42,prior day,2014-12-20,01:00:00
6955,,,,,,,,,42,prior day,2014-12-20,02:00:00
6956,,,,,,,,,42,prior day,2014-12-20,03:00:00
6957,,,,,,,,,42,prior day,2014-12-20,04:00:00
6958,,,,,,,,,42,prior day,2014-12-20,05:00:00
6959,,,,,,,,,42,prior day,2014-12-20,06:00:00
6960,,,,,,,,,42,prior day,2014-12-20,07:00:00
6961,,,,,,,,,42,prior day,2014-12-20,08:00:00
6962,,,,,,,,,42,prior day,2014-12-20,09:00:00
6963,,,,,,,,,42,prior day,2014-12-20,10:00:00
6964,,,,,,,,,42,prior day,2014-12-20,11:00:00
6965,,,,,,,,,42,prior day,2014-12-20,12:00:00
6966,,,,,,,,,42,prior day,2014-12-20,13:00:00
6967,,,,,,,,,42,prior day,2014-12-20,14:00:00
6968,,,,,,,,,42,prior day,2014-12-20,15:00:00
6969,,,,,,,,,42,prior day,2014-12-20,16:00:00
6970,,,,,,,,,42,prior day,2014-12-20,17:00:00
6971,,,,,,,,,42,prior day,2014-12-20,18:00:00
6972,,,,,,,,,42,prior day,2014-12-20,19:00:00
6973,,,,,,,,,42,prior day,2014-12-20,20:00:00
6974,,,,,,,,,42,prior day,2014-12-20,21:00:00
6975,,,,,,,,,42,prior day,2014-12-20,22:00:00
6976,,,,,,,,,42,prior day,2014-12-20,23:00:00
