,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
65,98836,0.9336,0.93475,0.9334,0.9352,0.930492,98836,2023-09-08,0.93475,-0.0014442364268520593,0.0014442364268520593,historical,0
66,1,0.9334,0.9334,0.9334,0.9334,0.9334,1,2023-09-09,0.9334,0.0,0.0,historical,0
67,4230,0.9333,0.93264,0.9331,0.9338,0.93229,4230,2023-09-10,0.9334,-0.00032140561388468715,0.00032140561388468715,historical,0
68,106374,0.9316,0.9331,0.93041,0.93367,0.929282,106374,2023-09-11,0.9331,-0.002882863573036203,0.002882863573036203,historical,0
69,102184,0.9321,0.93041,0.92993,0.9341,0.928,102184,2023-09-12,0.93041,-0.0005159015917712889,0.0005159015917712889,historical,0
70,121126,0.931,0.92992,0.93167,0.93352,0.9287,121126,2023-09-13,0.92993,0.0018711085780649765,0.0018711085780649765,historical,0
71,122190,0.9351,0.93168,0.94025,0.94056,0.929627,122190,2023-09-14,0.93167,0.009209269376496004,0.009209269376496004,historical,1
72,109830,0.938,0.94023,0.9368,0.94042,0.935366,109830,2023-09-15,0.94025,-0.0036692369050785045,0.0036692369050785045,historical,0
73,2532,0.9375,0.93737,0.93736,0.93783,0.937,2532,2023-09-17,0.9368,0.0005977796754910386,0.0005977796754910386,historical,0
74,98355,0.9369,0.93735,0.93524,0.93851,0.9344,98355,2023-09-18,0.93736,-0.0022616710762140596,0.0022616710762140596,historical,0
75,96324,0.9356,0.93524,0.936,0.93676,0.9327,96324,2023-09-19,0.93524,0.0008126256362004341,0.0008126256362004341,historical,0
76,117963,0.935,0.93616,0.93894,0.93913,0.931099,117963,2023-09-20,0.936,0.0031410256410255794,0.0031410256410255794,historical,0
77,126676,0.9389,0.93894,0.93803,0.94188,0.93668,126676,2023-09-21,0.93894,-0.0009691780092444314,0.0009691780092444314,historical,0
78,107437,0.939,0.9379,0.9369,0.94206,0.936768,107437,2023-09-22,0.93803,-0.0012046523032313203,0.0012046523032313203,historical,0
79,3656,0.9389,0.93778,0.93906,0.93921,0.93752,3656,2023-09-24,0.9369,0.002305475504322821,0.002305475504322821,historical,0
80,103642,0.9417,0.93909,0.94412,0.94553,0.9383,103642,2023-09-25,0.93906,0.0053883670904947,0.0053883670904947,historical,0
81,107879,0.9446,0.94414,0.94611,0.94677,0.9423,107879,2023-09-26,0.94412,0.002107782908952302,0.002107782908952302,historical,0
82,123211,0.949,0.94609,0.95186,0.9534,0.945448,123211,2023-09-27,0.94611,0.0060775174134086235,0.0060775174134086235,historical,0
83,129949,0.9489,0.95187,0.94673,0.95316,0.945001,129949,2023-09-28,0.95186,-0.005389448028071437,0.005389448028071437,historical,0
84,127735,0.9445,0.94675,0.9445,0.94712,0.9416,127735,2023-09-29,0.94673,-0.0023554762181402875,0.0023554762181402875,historical,0
85,4243,0.9466,0.94622,0.94656,0.94713,0.9451,4243,2023-10-01,0.9445,0.0021810481736367925,0.0021810481736367925,historical,0
86,115135,0.9497,0.94654,0.95418,0.9546,0.9438,115135,2023-10-02,0.94656,0.008050202839756668,0.008050202839756668,historical,0
87,125716,0.955,0.95416,0.955,0.95705,0.952653,125716,2023-10-03,0.95418,0.0008593766375316312,0.0008593766375316312,historical,0
88,118565,0.9528,0.95524,0.9515,0.95681,0.9492,118565,2023-10-04,0.955,-0.003664921465968532,0.003664921465968532,historical,0
89,117934,0.9502,0.95173,0.948,0.95234,0.9474,117934,2023-10-05,0.9515,-0.0036784025223332195,0.0036784025223332195,historical,0
