,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return
641,1139,0.9155,0.9153,0.91547,0.916,0.91506,1139,2024-01-03 22:00:00,0.9153,0.00018573145416803615,0.00018573145416803615
642,1494,0.9153,0.91549,0.91521,0.91552,0.9148,1494,2024-01-03 23:00:00,0.91547,-0.00028400712202479377,0.00028400712202479377
643,2280,0.9154,0.91523,0.91551,0.91575,0.915,2280,2024-01-04 00:00:00,0.91521,0.0003277936211362179,0.0003277936211362179
644,2655,0.9157,0.91549,0.91589,0.91603,0.9152,2655,2024-01-04 01:00:00,0.91551,0.00041506919640412,0.00041506919640412
645,2129,0.9158,0.91589,0.91575,0.91605,0.9155,2129,2024-01-04 02:00:00,0.91589,-0.0001528567841116608,0.0001528567841116608
646,2225,0.9153,0.91577,0.91521,0.91577,0.9147,2225,2024-01-04 03:00:00,0.91575,-0.0005896805896805732,0.0005896805896805732
647,1886,0.9152,0.9152,0.91522,0.91532,0.9147,1886,2024-01-04 04:00:00,0.91521,1.0926454037942672e-05,1.0926454037942672e-05
648,2622,0.9153,0.91521,0.91516,0.91556,0.9149,2622,2024-01-04 05:00:00,0.91522,-6.555800791073186e-05,6.555800791073186e-05
649,3248,0.915,0.91517,0.91468,0.91563,0.91416,3248,2024-01-04 06:00:00,0.91516,-0.0005244984483586749,0.0005244984483586749
650,4380,0.9144,0.91469,0.91423,0.91492,0.913576,4380,2024-01-04 07:00:00,0.91468,-0.0004919753356365739,0.0004919753356365739
651,6161,0.9138,0.91424,0.91294,0.91449,0.9125,6161,2024-01-04 08:00:00,0.91423,-0.0014110234842435857,0.0014110234842435857
652,5463,0.9125,0.91295,0.91177,0.91358,0.911411,5463,2024-01-04 09:00:00,0.91294,-0.0012815738164611086,0.0012815738164611086
653,4892,0.9121,0.91178,0.91274,0.91287,0.911162,4892,2024-01-04 10:00:00,0.91177,0.001063864790462536,0.001063864790462536
654,3718,0.9129,0.91273,0.91335,0.91354,0.912326,3718,2024-01-04 11:00:00,0.91274,0.0006683173740605205,0.0006683173740605205
